ads_id,prop_name,completion_year,monthly_rent,location,property_type_grouped,rooms,parking,bathroom,size,furnished,facilities,additional_facilities,region,f_barbeque_area,f_club_house,f_gymnasium,f_jogging_track,f_lift,f_minimart,f_multipurpose_hall,f_playground,f_sauna,f_security,f_squash_court,f_swimming_pool,f_tennis_court,fa_air-cond,fa_internet,fa_washing_machine
100322802,Arte Plus Jalan Ampang,2018,1500,0,1,1,1,1,700,0,"Gymnasium, Jogging Track, Playground, Parking, Security, Lift, Swimming Pool, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Squash Court","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT",0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1
87950203,Maxim Citilights,2017,1300,45,1,3,1,2,1009,0,"Minimart, Jogging Track, Playground, Swimming Pool, Multipurpose hall, Security, Lift, Parking, Gymnasium, Sauna, Barbeque area","Air-Cond, Cooking Allowed, Washing Machine",0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1
100239196,Greenview Apartments,Unknown,1000,29,1,5,0,2,855,2,"Security, Parking, Lift","Cooking Allowed, Near KTM/LRT, Internet",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
100322320,Legasi Kampong Bharu,2020,3200,25,1,3,1,2,950,0,"Lift, Squash Court, Jogging Track, Gymnasium, Playground, Security, Tennis Court, Swimming Pool, Parking, Minimart, Sauna, Barbeque area, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100322311,Legasi Kampong Bharu,2020,3200,25,1,3,1,2,950,0,"Lift, Squash Court, Jogging Track, Gymnasium, Playground, Security, Tennis Court, Swimming Pool, Parking, Minimart, Sauna, Barbeque area, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100322212,Majestic Maxim,2021,1400,12,1,2,2,2,650,1,"Parking, Gymnasium, Jogging Track, Lift, Barbeque area, Security, Swimming Pool, Playground","Air-Cond, Near KTM/LRT, Cooking Allowed",0,1,0,1,1,1,0,0,1,0,1,0,1,0,1,0,0
100322123,Majestic Maxim,2021,1099,12,1,2,1,2,650,1,"Playground, Lift, Barbeque area, Security, Parking, Jogging Track, Gymnasium, Swimming Pool","Air-Cond, Cooking Allowed, Near KTM/LRT",0,1,0,1,1,1,0,0,1,0,1,0,1,0,1,0,0
100310024,Majestic Maxim,2021,1099,12,1,2,1,2,650,2,"Security, Swimming Pool, Parking, Jogging Track, Barbeque area, Playground, Gymnasium, Lift","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",0,1,0,1,1,1,0,0,1,0,1,0,1,0,1,0,1
100310022,Majestic Maxim,2021,1199,12,1,3,1,2,819,1,"Security, Swimming Pool, Parking, Jogging Track, Barbeque area, Playground, Gymnasium, Lift","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",0,1,0,1,1,1,0,0,1,0,1,0,1,0,1,0,1
100290514,Majestic Maxim,2021,1100,12,1,2,1,2,650,1,"Jogging Track, Parking, Security, Playground, Barbeque area, Gymnasium, Lift, Swimming Pool","Air-Cond, Cooking Allowed",0,1,0,1,1,1,0,0,1,0,1,0,1,0,1,0,0
100322086,28 Dutamas,2017,2500,50,1,4,2,3,1500,2,"Playground, Swimming Pool, Jogging Track, Multipurpose hall, Security, Gymnasium","Air-Cond, Cooking Allowed",0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0
100234716,Flexus Signature Suites,Unknown,1500,22,1,1,1,1,530,0,"Parking, Security, Sauna, Multipurpose hall, Swimming Pool, Gymnasium","Air-Cond, Cooking Allowed, Washing Machine",0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1
100322047,Menjalara 18,Unknown,2400,3,1,3,1,2,1316,0,"Barbeque area, Swimming Pool, Gymnasium, Club house, Minimart, Squash Court, Parking, Sauna","Air-Cond, Cooking Allowed, Washing Machine",0,1,1,1,0,0,1,0,0,1,0,1,1,0,1,0,1
99876261,Greenpark,1999,1400,35,1,3,1,2,1270,2,"Parking, Security, Tennis Court, Swimming Pool, Playground, Lift, Jogging Track, Minimart, Gymnasium, Barbeque area","Air-Cond, Cooking Allowed, Internet",0,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,0
100322029,Majestic Maxim,2021,1800,12,1,3,1,2,819,2,"Security, Swimming Pool, Lift, Gymnasium, Barbeque area, Jogging Track, Parking, Playground, Minimart, Club house","Air-Cond, Cooking Allowed, Near KTM/LRT, Internet",0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,0
98292007,Bennington Residences @ SkyArena,2019,3000,48,1,3,2,2,1200,0,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Squash Court","Air-Cond, Cooking Allowed, Washing Machine, Internet",0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1
100321936,Sri Putramas,2004,1600,22,1,3,1,2,1100,0,"Minimart, Swimming Pool, Sauna, Playground, Gymnasium, Security, Tennis Court, Barbeque area, Parking","Air-Cond, Cooking Allowed, Washing Machine",0,1,0,1,0,0,1,0,1,1,1,0,1,1,1,0,1
100321885,Sofiya Residences,Unknown,2000,18,1,3,1,2,862,0,"Security, Playground","Air-Cond, Cooking Allowed, Washing Machine",0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
100321800,The Havre @ Bukit Jalil,2020,2500,9,1,3,2,2,1028,0,"Security, Squash Court, Jogging Track, Lift, Multipurpose hall, Minimart, Swimming Pool, Gymnasium, Barbeque area, Sauna, Club house, Parking, Playground, Tennis Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
94858400,Unknown,Unknown,2000,48,1,4,0,2,940,0,"Swimming Pool, Gymnasium, Tennis Court, Squash Court, Security, Parking, Jogging Track, Playground, Minimart, Lift","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,0,1
93420010,Unknown,Unknown,1800,48,1,3,1,2,860,0,"Swimming Pool, Gymnasium, Tennis Court, Squash Court, Security, Parking, Jogging Track, Playground, Lift, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,0,1
86821569,Unknown,Unknown,1700,22,1,3,2,2,1100,2,Swimming Pool,Air-Cond,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
94858340,Unknown,Unknown,1600,48,1,4,1,2,914,2,"Swimming Pool, Squash Court, Security, Parking, Lift, Tennis Court, Jogging Track, Gymnasium, Playground, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,0,1
94861261,Unknown,Unknown,2000,22,1,3,2,2,1100,0,"Swimming Pool, Gymnasium, Tennis Court, Squash Court, Security, Parking, Jogging Track, Lift, Playground, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,0,1
94962913,Unknown,Unknown,1500,29,1,3,2,2,1100,2,"Swimming Pool, Gymnasium, Squash Court, Security, Parking, Lift, Jogging Track, Tennis Court, Playground, Minimart",Air-Cond,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0
95481469,Unknown,Unknown,1700,22,1,3,2,2,1100,2,"Swimming Pool, Gymnasium, Parking, 10","Air-Cond, Cooking Allowed, Washing Machine",0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1
95865588,Unknown,Unknown,1850,29,1,3,2,2,1100,0,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
97361235,Unknown,Unknown,1700,45,1,4,2,3,1200,2,"Security, Playground, Gymnasium, Swimming Pool, Parking, Minimart, Lift, Sauna, Multipurpose hall, Squash Court, Tennis Court, Barbeque area, Jogging Track, Club house","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
97361227,Unknown,Unknown,1700,21,1,2,1,2,904,0,"Playground, Lift, Club house, Security, Gymnasium, Jogging Track, Swimming Pool, Parking, Sauna, Barbeque area, Minimart, Multipurpose hall, Squash Court, Tennis Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
97407806,Unknown,Unknown,1800,29,1,4,2,2,1300,2,"Parking, Lift, Security, Gymnasium, Club house, Jogging Track, Sauna, Barbeque area, Tennis Court, Minimart, Squash Court, Multipurpose hall, Playground, Swimming Pool","Air-Cond, Cooking Allowed",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
97406687,Unknown,Unknown,1600,29,1,3,2,2,1100,2,"Parking, Lift, Swimming Pool, Playground, Multipurpose hall, Squash Court, Minimart, Barbeque area, Tennis Court, Jogging Track, Club house, Gymnasium, Sauna, Security","Cooking Allowed, Air-Cond, Near KTM/LRT",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
100321689,Majestic Maxim,2021,1400,12,1,2,2,2,650,1,"Parking, Gymnasium, Jogging Track, Lift, Barbeque area, Security, Swimming Pool, Playground","Air-Cond, Near KTM/LRT, Cooking Allowed",0,1,0,1,1,1,0,0,1,0,1,0,1,0,1,0,0
100321678,D'Puncak Suasana,Unknown,1000,27,1,3,2,2,1000,2,"Playground, Swimming Pool, Parking, Security, Barbeque area, Minimart, Multipurpose hall, Jogging Track, Tennis Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Internet",0,1,0,0,1,0,1,1,1,0,1,0,1,1,1,1,0
100321665,KL Traders Square Residences,2019,1400,20,1,3,1,2,850,1,"Swimming Pool, Lift, Security, Parking, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Squash Court, Tennis Court, Jogging Track, Club house, Playground","Air-Cond, Cooking Allowed, Near KTM/LRT",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
100321664,Prisma Cheras,Unknown,1500,12,1,2,1,1,717,0,"Tennis Court, Sauna, Gymnasium, Squash Court, Barbeque area, Playground, Security, Parking, Swimming Pool, Lift, Minimart, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT",0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
100321562,Lavile,2021,3000,12,1,3,0,2,864,0,"Swimming Pool, Barbeque area, Security, Multipurpose hall, Gymnasium, Lift, Parking, Playground, Sauna, Jogging Track, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,1
100321251,Maxim Citilights,2017,1300,45,1,3,1,2,1150,1,"Security, Minimart, Playground, Swimming Pool, Multipurpose hall, Jogging Track, Lift, Parking",Near KTM/LRT,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0
100321351,Fajar Ria,Unknown,2500,40,1,3,0,2,1500,0,"Parking, Security, Playground, Swimming Pool, Gymnasium","Cooking Allowed, Near KTM/LRT, Air-Cond",0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0
100235971,Taman Connaught,Unknown,900,12,1,2,1,1,550,2,"Parking, Security, Lift, Playground, Jogging Track","Cooking Allowed, Near KTM/LRT",0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0
100235642,Midah Ria,Unknown,1300,12,1,3,1,2,967,2,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT",0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0
100321040,Faber Ria,1985,1300,55,1,2,1,2,1050,2,"Playground, Swimming Pool, Tennis Court, Squash Court, Minimart, Sauna, Club house, Parking, Security, Gymnasium, Barbeque area, Lift",Cooking Allowed,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0
23139697,Villa Wangsamas,2010,1700,60,1,3,0,3,1267,2,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Internet",0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0
16717632,Villa Wangsamas,2010,2000,60,1,3,1,3,1267,0,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1
99364321,The Capers,Unknown,2100,45,1,2,0,2,999,2,"Playground, Parking, Gymnasium, Jogging Track, Security, Swimming Pool, Lift, Club house, Minimart, Sauna","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",0,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1
100321008,Central Residence @ Sg Besi,2015,1750,54,1,3,2,2,1121,0,"Playground, Barbeque area, Sauna, Multipurpose hall, Security, Swimming Pool, Gymnasium, Lift, Parking","Air-Cond, Cooking Allowed, Washing Machine",0,1,0,1,0,1,0,1,1,1,1,0,1,0,1,0,1
100320875,Unio Residence,2021,2000,29,1,2,1,2,872,0,"Minimart, Swimming Pool, Tennis Court, Jogging Track, Security, Playground, Parking, Gymnasium, Barbeque area, Lift, Multipurpose hall","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT",0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1
100320904,Dahlia Apartment (Ampang),Unknown,1300,0,1,3,0,2,860,1,"Security, Playground, Lift",Cooking Allowed,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
100320954,1 Petaling,2012,1100,54,1,3,1,2,904,2,"Jogging Track, Swimming Pool, Playground, Security, Barbeque area, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1
100320945,Residensi Seri Wahyu @ Jalan Kuching KL,Unknown,1300,25,1,3,1,2,835,0,"Jogging Track, Lift, Gymnasium, Squash Court, Minimart, Security, Swimming Pool, Parking, Playground, Barbeque area","Air-Cond, Cooking Allowed, Washing Machine",0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1
100320933,Pangsapuri Seroja,Unknown,850,24,1,3,0,2,750,2,Lift,"Near KTM/LRT, Cooking Allowed",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
98990742,Endah Villa,Unknown,1400,53,1,3,1,2,1129,0,"Security, Squash Court, Parking, Swimming Pool, Tennis Court, Playground, Minimart, Barbeque area, Lift, Multipurpose hall, Club house","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1
100320836,Unio Residence,2021,1900,29,1,2,1,2,1132,2,"Minimart, Playground, Swimming Pool, Parking, Security, Gymnasium, Tennis Court, Lift, Barbeque area, Jogging Track, Multipurpose hall",Air-Cond,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0
100140155,Rica Residence Sentul,2021,1700,45,1,2,0,1,700,2,"Parking, Security, Swimming Pool, Minimart, Playground, Squash Court, Lift, Gymnasium, Tennis Court, Jogging Track","Near KTM/LRT, Air-Cond, Cooking Allowed, Washing Machine",0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,0,1
100320688,PV9 Residences @ Taman Melati,2022,2100,48,1,3,2,2,1000,2,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall, Minimart","Air-Cond, Near KTM/LRT, Cooking Allowed",0,1,0,1,0,1,1,1,1,0,1,0,1,0,1,0,0
100320795,Suasana Lumayan,2015,1550,12,1,4,1,2,1142,2,"Minimart, Sauna, Security, Gymnasium, Playground, Parking, Swimming Pool, Lift","Air-Cond, Cooking Allowed",0,0,0,1,0,1,1,0,1,1,1,0,1,0,1,0,0
100320796,Plaza Prima Setapak,2006,1400,48,1,4,2,2,1300,2,"Parking, Security, Lift, Swimming Pool, Playground, Jogging Track","Cooking Allowed, Washing Machine",0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1
100320727,Residensi Vista Wirajaya,Unknown,1800,48,1,3,1,2,884,0,"Parking, Security, Lift, Swimming Pool, Playground, Barbeque area, Multipurpose hall","Near KTM/LRT, Washing Machine, Internet, Cooking Allowed",0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1
100320547,One Maxim,2020,1300,45,1,3,1,2,819,2,"Parking, Sauna, Barbeque area, Jogging Track, Security, Playground, Swimming Pool, Gymnasium, Multipurpose hall",Cooking Allowed,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0
100320546,M Centura,2021,2500,45,1,3,1,2,850,0,"Parking, Security, Lift, Swimming Pool, Gymnasium, Playground","Cooking Allowed, Near KTM/LRT, Washing Machine",0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1
100320543,PV9 Residences @ Taman Melati,2022,2300,48,1,3,2,2,1000,2,"Parking, Security, Lift, Swimming Pool, Playground, Jogging Track, Barbeque area","Cooking Allowed, Near KTM/LRT, Washing Machine",0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1
100320529,Majestic Maxim,2021,1350,12,1,2,1,1,650,2,"Parking, Gymnasium, Jogging Track, Lift, Barbeque area, Playground, Swimming Pool, Security","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",0,1,0,1,1,1,0,0,1,0,1,0,1,0,1,1,1
100320520,Residensi KepongMas,2020,1100,29,1,3,2,2,800,2,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium","Air-Cond, Cooking Allowed, Near KTM/LRT",0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0
100320656,Bayu Sentul Condominium,2015,1700,45,1,3,2,2,1300,2,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Cooking Allowed, Washing Machine",0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
100170082,Vista Angkasa,Unknown,1800,6,1,3,1,2,1200,2,"Parking, Security, Swimming Pool, Jogging Track, Minimart, Lift, Playground, Multipurpose hall, Barbeque area, Tennis Court","Cooking Allowed, Near KTM/LRT",0,1,0,0,1,1,1,1,1,0,1,0,1,1,0,0,0
100234537,The Nest Residence @ Genting Klang,Unknown,1600,48,1,3,1,2,770,0,"Parking, Playground, Gymnasium, Jogging Track, Lift, Minimart, Tennis Court, Squash Court, Security, Swimming Pool",Air-Cond,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0
100320486,Sky Awani 3 Residence Setpak,Unknown,1600,48,1,3,2,2,800,0,"Parking, Gymnasium, Sauna, Security, Lift, Swimming Pool, Playground, Barbeque area","Cooking Allowed, Air-Cond, Near KTM/LRT",0,1,0,1,0,1,0,0,1,1,1,0,1,0,1,0,0
100320507,M Centura,2021,1650,45,1,3,2,2,850,2,Parking,"Cooking Allowed, Air-Cond",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
100320593,OG Heights,1988,1200,40,1,2,1,2,1000,2,"Parking, Jogging Track, Tennis Court, Lift, Sauna, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,1
99174282,Delima J Apartment,Unknown,1400,17,1,3,1,2,1000,2,"Playground, Security, Parking","Air-Cond, Cooking Allowed",0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
100279958,Hedgeford 10 Residences @ Wangsa Maju,2015,1200,60,1,1,1,1,521,2,"Security, Swimming Pool, Jogging Track, Sauna, Minimart, Parking","Air-Cond, Cooking Allowed, Washing Machine",0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1
100256144,The Establishment,2018,2500,7,1,1,1,1,468,0,Parking,"Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
100320298,The Henge Kepong,2019,2200,29,1,3,2,2,1100,0,"Playground, Swimming Pool, Jogging Track, Security, Tennis Court, Lift, Multipurpose hall, Parking, Gymnasium, Barbeque area, Minimart, Squash Court, Sauna, Club house","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100320294,Sofiya Residences,Unknown,2300,18,1,3,1,2,862,0,"Playground, Security, Parking, Gymnasium, Sauna, Jogging Track, Barbeque area, Lift, Swimming Pool","Air-Cond, Cooking Allowed, Washing Machine",0,1,0,1,1,1,0,0,1,1,1,0,1,0,1,0,1
100262241,Suasana Lumayan,2015,1500,12,1,4,1,2,1142,2,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100320327,Vista Komanwel A,Unknown,1600,9,1,3,2,2,1224,0,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",0,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1
100320315,Apartment Sentul,Unknown,700,45,1,3,0,1,700,1,"Parking, Lift",Cooking Allowed,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
99879586,Lakeville Residence,2017,1900,21,1,3,2,2,1193,2,"Gymnasium, Parking, Security, Lift, Swimming Pool, Playground, Barbeque area, Sauna, Minimart, Multipurpose hall, Jogging Track, Tennis Court","Air-Cond, Cooking Allowed, Washing Machine",0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1
100320270,Arte Plus Jalan Ampang,2018,2100,0,1,3,2,2,1200,0,"Parking, Gymnasium, Jogging Track, Playground, Security, Lift, Swimming Pool, Sauna, Barbeque area, Multipurpose hall, Tennis Court","Air-Cond, Cooking Allowed, Washing Machine",0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1
100319605,Residensi Alam Damai (PR1MA @ Alam Damai),Unknown,1300,12,1,3,1,3,935,1,"Parking, Security, Lift, Playground, Minimart, Multipurpose hall",Cooking Allowed,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0
99753372,Residensi Pandanmas 1,Unknown,1500,17,1,3,1,2,900,2,"Minimart, Gymnasium, Lift, Parking, Security, Swimming Pool, Playground, Jogging Track, Barbeque area, Multipurpose hall","Cooking Allowed, Near KTM/LRT, Air-Cond",0,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,0
100103263,First Residence,2012,1600,29,1,3,1,2,1070,2,"Barbeque area, Swimming Pool, Security, Playground, Gymnasium, Parking, Lift, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT",0,1,0,1,1,1,0,0,1,0,1,0,1,0,1,0,0
100234677,M Centura,2021,2200,45,1,3,0,2,850,0,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Minimart, Club house","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",0,0,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1
100319350,Unio Residence,2021,2200,29,1,2,1,2,866,0,"Jogging Track, Security, Swimming Pool, Tennis Court, Lift, Multipurpose hall, Parking, Minimart, Playground, Barbeque area, Gymnasium","Air-Cond, Cooking Allowed",0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0
100319283,Legasi Kampong Bharu,2020,3300,25,1,3,1,2,950,0,"Gymnasium, Parking, Playground, Security, Minimart, Squash Court, Lift, Swimming Pool, Tennis Court, Jogging Track",Air-Cond,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0
100319174,Mercu Summer Suites @ Kuala Lumpur,2015,2000,25,1,1,0,1,600,0,"Parking, Minimart, Security, Lift, Swimming Pool, Gymnasium","Air-Cond, Cooking Allowed, Washing Machine",0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1
